"first_initial","last_initial","location","amount","redemption_method"
"S","J","CHULA VISTA",54.9,"PayPal"
"B","P","Chester",54.78,"PayPal"
"G","A","Indianapolis",54.77,"PayPal"
"T","B","Fort Worth",54.7,"PayPal"
"K","O","Diamondhead",54.68,"Bank Transfer"
"C","J","FARGO",54.64,"PayPal"
"A","M","Florence",54.62,"PayPal"
"J","T","Palo Alto",54.5,"Bank Transfer"
"B","P","Chester",54.49,"PayPal"
"J","H","Wheelwright",54.49,"PayPal"
"C","W","Broken Arrow",54.15,"Bank Transfer"
"G","R","ELMHURST",54.03,"Bank Transfer"
"R","H","Syracuse",54.02,"Bank Transfer"
"P","K","Visalia",53.96,"Bank Transfer"
"C","O","Orlando",53.86,"PayPal"
"A","C","Cedar Rapids",53.68,"PayPal"
"L","J","Southlake",53.47,"Bank Transfer"
"L","J","Roseto",53.46,"Bank Transfer"
"R","F","Drums",53.41,"PayPal"
"A","S","Holly Springs",53.38,"PayPal"
"G","H","Marion",53.34,"PayPal"
"Z","L","SAN DIEGO",53.26,"PayPal"
"A","S","Metairie",53.2,"Bank Transfer"
"M","J","Salem",53.1,"PayPal"
"M","S","Palm Bay",53.1,"Bank Transfer"
"J","E","San Diego",53,"PayPal"
"D","W","Wylie",53,"Bank Transfer"
"F","W","Port Saint Lucie",52.97,"Bank Transfer"
"K","E","Vancouver",52.78,"PayPal"
"M","B","Falls Church",52.69,"Bank Transfer"
"B","C","Mountain Home",52.53,"Bank Transfer"
"O","M","Henderson",52.5,"Bank Transfer"
"D","Z","REVERE",52.48,"PayPal"
"J","D","Knoxville",52.44,"Bank Transfer"
"J","W","Leland",52.34,"PayPal"
"S","B","DAYTON",52.24,"Bank Transfer"
"J","F","East Stroudsburg",52.05,"PayPal"
"C","M","Mission Viejo",51.9,"PayPal"
"A","R","Ogden",51.85,"Bank Transfer"
"T","A","SOUTH SAN FRANCISCO",51.8,"Bank Transfer"
"S","B","Woodstock",51.79,"Bank Transfer"
"A","R","Ogden",51.78,"Bank Transfer"
"J","B","Caledonia",51.64,"PayPal"
"P","T","Fort Worth",51.63,"Bank Transfer"
"C","M","Bonney Lake",51.61,"Bank Transfer"
"M","L","York",51.57,"PayPal"
"D","B","Pittsburg",51.34,"Bank Transfer"
"S","S","Marietta",51.31,"PayPal"
"A","S","Metairie",51.3,"Bank Transfer"
"C","Y","Vancouver",51.28,"PayPal"
"J","C","Washington",51.27,"PayPal"
"F","M","Webster",51.22,"PayPal"
"A","H","Myrtle Beach",51.21,"Bank Transfer"
"M","R","Bay City",51.18,"Bank Transfer"
"M","S","Plano",51.15,"Bank Transfer"
"K","H","Hastings",51.15,"Bank Transfer"
"R","D","North Hills",51.14,"PayPal"
"R","B","Richmond",51.11,"Bank Transfer"
"L","D","Tyrone",51.04,"PayPal"
"T","B","LOUISVILLE",51,"Bank Transfer"
"T","P","Celina",50.98,"Bank Transfer"
"A","R","North Salt Lake",50.91,"PayPal"
"J","W","Delmont",50.88,"PayPal"
"A","T","El Paso",50.87,"Bank Transfer"
"L","S","Quakertown",50.86,"Bank Transfer"
"M","L","York",50.81,"PayPal"
"G","A","Arlington",50.8,"PayPal"
"N","B","DENVER",50.8,"Bank Transfer"
"L","M","Palmdale",50.78,"PayPal"
"S","C","MILLINGTON",50.75,"PayPal"
"S","P","Clarks Summit",50.73,"Bank Transfer"
"A","P","MISSION",50.69,"Bank Transfer"
"S","T","Algonquin",50.67,"Bank Transfer"
"C","M","CHANDLER",50.67,"Bank Transfer"
"Y","C","South San Francisco",50.65,"Bank Transfer"
"A","P","Topeka",50.64,"Bank Transfer"
"J","B","Pasco",50.64,"PayPal"
"V","H","Georgetown",50.64,"Bank Transfer"
"K","R","Spring",50.63,"Bank Transfer"
"A","B","Cincinnati",50.6,"Bank Transfer"
"R","S","Las Vegas",50.53,"Bank Transfer"
"M","A","WILLISTON",50.52,"Bank Transfer"
"D","Z","Schenectady",50.51,"Bank Transfer"
"G","C","Cambridge",50.49,"Bank Transfer"
"S","Z","HAMILTON",50.48,"PayPal"
"A","C","Smyrna",50.48,"PayPal"
"J","S","Kyle",50.47,"Bank Transfer"
"D","I","Chelsea",50.44,"PayPal"
"J","H","MESA",50.42,"PayPal"
"G","K","Gorham",50.42,"Bank Transfer"
"L","J","Alton",50.4,"PayPal"
"A","S","Harrison",50.4,"Bank Transfer"
"R","B","Cincinnati",50.39,"Bank Transfer"
"M","T","LOS ANGELES",50.37,"PayPal"
"J","H","Brooklyn",50.37,"Bank Transfer"
"L","D","FAYETTEVILLE",50.37,"PayPal"
"N","S","Tampa",50.33,"PayPal"
"J","D","Knoxville",50.32,"Bank Transfer"
"R","W","Somers Point",50.31,"PayPal"
"B","G","CANTON",50.31,"PayPal"
